"","","sumDataReadNUm"
"1","all_001","3191071.844625"
"2","all_002","1655309.210445"
"3","all_003","1943253.207175"
"4","all_004","5354800.67856"
"5","all_005","3474605.787815"
"6","all_006","1148811.91105"
"7","all_007","1916332.770475"
"8","all_008","2209152.77288"
"9","all_009","1720249.933895"
"10","all_010","3428874.0264"
"11","all_011","2518446.326095"
"12","all_012","989070.243325"
"13","all_013","5539333.15042"
"14","all_014","2839044.982505"
"15","all_015","2912102.01026"
"16","all_016","1261646.03006"
"17","all_017","2398134.83044"
"18","all_018","3334639.79533"
"19","all_019","5301595.16069"
"20","all_020","1647208.588905"
"21","all_021","2234425.467465"
"22","all_022","4266156.128545"
"23","all_023","1130877.833405"
"24","all_024","1666409.399585"
"25","all_025","939248.92241"
"26","all_026","2524676.931345"
"27","all_027","2259641.637335"
"28","all_028","1595867.3999"
"29","all_029","6170527.415045"
"30","all_030","3538049.6337"
"31","all_031","1490977.338565"
"32","all_032","2773706.739045"
"33","all_033","1164209.176315"
"34","all_034","2507889.786905"
"35","all_035","2153320.68505"
"36","all_036","3164857.92764"
"37","all_037","1747546.619705"
"38","all_038","1704400.16804"
"39","all_039","1179230.350255"
"40","all_040","2987593.47677"
"41","all_041","557520.41943"
"42","all_042","3902751.81246"
"43","all_043","2328144.23672"
"44","all_044","2064157.369785"
"45","all_045","3357647.0909"
"46","all_046","1131133.418525"
"47","all_047","2118315.99016"
"48","all_048","1232959.047375"
"49","all_049","16883828.376155"
"50","all_050","3317893.689215"
"51","all_051","2270050.273005"
"52","all_052","3476432.686135"
"53","all_053","4705786.96646"
"54","all_054","1836176.860065"
"55","all_055","2928998.03873"
"56","all_056","1958951.53846"
"57","all_057","2382790.86969"
"58","all_058","4180694.065775"
"59","all_059","5264982.344855"
"60","all_060","2470733.990615"
"61","all_061","5207133.347105"
"62","all_062","2572674.10887"
"63","all_063","2322827.361295"
"64","all_064","1239096.27079"
"65","all_065","1479216.74198"
"66","all_066","5041259.864445"
"67","all_067","796506.377555"
"68","all_068","1679722.680455"
"69","all_069","415088.321975"
"70","all_070","2368670.692585"
"71","all_071","2071922.701905"
"72","all_072","1832991.81384"
"73","all_073","687521.24207"
"74","all_074","604975.725005"
"75","all_075","1992018.25312"
"76","all_076","4705914.757035"
"77","all_077","2602483.407485"
"78","all_078","1391894.08212"
"79","all_079","1149174.851385"
"80","all_080","660163.22665"
"81","all_081","1755273.038215"
"82","all_082","1664022.360285"
"83","all_083","2070488.470295"
"84","all_084","646866.67001"
"85","all_085","1583429.19164"
"86","all_086","821249.41246"
"87","all_087","481506.36377"
"88","all_088","1293417.77733"
"89","all_089","953374.131225"
"90","all_090","2604505.50844"
"91","all_091","2101591.851435"
"92","all_092","677257.84576"
"93","all_093","5733847.229355"
